1,6.57,6.53,6.57,-5.22,-5.34,-5.1,-0.72,-0.73,-0.61,3.85,3.74,4.1,187.47,186.8,187.82,36.18,34.77,38.57,4.84,4.79,5.02,437.7,437.5,437.9,304300,299441,310083
1,6.47,6.47,6.49,-5.33,-5.33,-4.99,-1.1,-1.17,-0.41,3.48,3.46,4.09,189.56,184.68,192.34,32.51,32.5,39.26,5.44,5.24,5.39,436.1,435.9,436.5,293146,253015,299866
1,6.49,6.45,6.5,-5.53,-5.64,-5.42,-1.17,-1.67,-0.8,3.08,2.96,3.19,192.36,188.27,197.12,28.5,27.22,29.74,5.18,5.15,5.34,435.5,435.3,440.5,305910,296187,310680
1,6.31,6.22,6.57,-4.09,-5.56,-3.73,-3.66,-4.34,-2.04,2.73,2.44,2.79,217.14,200.14,229.34,25.24,23.08,26.46,5.03,4.88,5.5,431.8,429,431.9,183263,149576,227080
1,6.05,6.02,6.24,-3.38,-3.57,-3.37,-4.5,-4.52,-4.25,2.43,2.19,2.58,232.1,231.48,233.26,22.9,21.19,25.44,4.84,4.81,4.31,429.2,428.8,429.2,153316,134659,161130
1,6.05,6.04,6.06,-3.52,-3.68,-3.12,-4.37,-4.4,-4.04,2.72,1.84,2.76,231.16,228.9,234.48,26.87,17.81,27.29,4.95,4.84,3.63,424.9,422.4,425.7,134515,120332,143145
1,6.06,6.03,6.1,-3.5,-3.6,-3.39,-4.52,-4.78,-4.49,1.77,1.63,1.89,232.74,231.52,234.62,17.02,15.52,18.38,4.69,4.65,3.9,424.6,423.9,427.2,128356,122436,136187
1,6.04,6,6.05,-4.13,-4.38,-2.98,-3.68,-4.89,-3.26,2.44,1.75,2.57,225.63,216.66,238.63,23.78,16.98,25.21,4.2,3.97,3.89,431.6,426.7,432.4,118806,110551,123362
1,6.01,6.01,6.03,-4.59,-4.97,-4.24,-2.92,-3.3,-2.26,2.54,2.54,2.66,211.63,204.47,217.93,25,24.97,26.33,3.37,2.22,4.18,426.8,425.9,426.8,88129,81925,93793
1,6.04,6.04,6.08,-4.81,-4.95,-4.64,-2.93,-3.62,-2.69,2.08,1.52,2.14,212.62,208.5,217.99,20.26,14.48,20.75,3.46,3.07,4.12,426.2,425.7,426.7,97492,72900,116177
1,5.94,5.91,5.97,-4.82,-5.05,-4.71,-2.17,-2.56,-1.97,2.56,2.41,2.57,204.67,201.29,208.49,25.67,24.02,25.81,4.13,2.95,4.52,425,424.3,431.7,108298,99512,109504
1,5.84,5.78,5.87,-4.49,-4.49,-4.14,-2.79,-3.19,-2.63,2.54,2.44,2.55,213.3,210.37,217.63,25.61,25.08,26.12,4.49,4.39,4.46,431.5,426.4,432.7,107552,98485,116195
1,6.01,5.93,6.02,-4.6,-4.71,-4.6,-2.7,-2.85,-2.26,2.6,2.54,2.77,209.32,205.68,211.85,25.9,25.66,27.43,4.4,4.4,4.84,434.7,434.1,437.6,111192,106431,112851
1,6.19,6.03,6.33,-4.75,-5.24,-4.73,-3.1,-3.74,-2.67,1.89,1.88,2.02,212.82,207.03,218.36,17.79,17.29,19.57,4.71,4.31,5.57,437.5,437.1,448.2,103269,100718,139355
1,6.55,6.45,6.55,-4.62,-4.78,-4.5,-4,-4.38,-3.8,1.8,1.73,2.04,221.19,218.53,224.18,15.99,15.82,18.48,4.43,4.14,5.21,428.4,423.8,432.9,197478,194993,226194
1,6.6,6.54,6.63,-5.7,-6.22,-5.61,0.5,0.21,0.72,3.13,2.09,3.31,175.42,173.43,177.88,29.05,18.43,30.17,4.31,4.05,4.76,428.9,424,433.4,255282,243452,299533
1,6.6,6.58,6.64,-6.13,-6.24,-6.09,1.11,-0.4,1.75,1.99,1.94,2.09,172.45,163.95,183.68,17.68,17.04,18.56,4.24,4.11,4.23,426,418.6,429.5,239693,132219,258802
1,6.6,6.41,6.65,-5.02,-5.58,-4.39,3.41,-2.45,4.04,2.58,0.99,2.75,161.32,137.34,203.7,23.05,9.21,24.72,4.96,4.86,3.63,424.5,422.3,431.1,132990,98754,199186
1,6.66,6.65,6.68,-5.95,-6.1,-5.67,2.24,1.83,2.49,2.02,1.91,2.41,159.65,156.33,163.26,17.61,16.7,21.29,4.1,3.5,4.32,420.7,415.4,435,120765,98059,331593
